"","expression","q.025","mean","q.975"
"1","asc_metro.low",12.039768,21.5197,30.999632
"2","asc_others.low",-136.528776,-91.1291,-45.729424
"3","bTInc.low",-22.411448,-14.4954,-6.579352
"4","bCro.low",0.00802400000000003,1.7389,3.469776
"5","bWaitEnv1.low",-2.269476,6.2773,14.824076
"6","bWaitEnv2.low",5.490516,16.09,26.689484
"7","bStop1.low",7.269624,19.0553,30.840976
"8","bStop2.low",1.603464,10.6863,19.769136
"9","bSafety1.low",7.270484,18.7798,30.289116
"10","bSafety2.low",2.460824,13.2322,24.003576
"11","asc_metro.mid",33.43854,59.7682,86.09786
"12","asc_others.mid",-379.191892,-253.0998,-127.007708
"13","bTInc.mid",-62.245108,-40.2592,-18.273292
"14","bCro.mid",0.0619880000000013,13.4139,26.765812
"15","bWaitEnv1.mid",-6.303456,17.4343,41.172056
"16","bWaitEnv2.mid",15.249292,44.6881,74.126908
"17","bStop1.mid",20.190624,52.9238,85.656976
"18","bStop2.mid",4.453424,29.6798,54.906176
"19","bSafety1.mid",20.192764,52.1586,84.124436
"20","bSafety2.mid",6.834436,36.7507,66.666964
"21","asc_metro.upp",79.421356,141.9579,204.494444
"22","asc_others.upp",-900.634528,-601.1479,-301.661272
"23","bTInc.upp",-147.840892,-95.6212,-43.401508
"24","bCro.upp",0.349983999999992,75.672,150.994016
"25","bWaitEnv1.upp",-14.971676,41.4089,97.789476
"26","bWaitEnv2.upp",36.219168,106.1406,176.062032
"27","bStop1.upp",47.955456,125.7016,203.447744
"28","bStop2.upp",10.577184,70.4936,130.410016
"29","bSafety1.upp",47.960756,123.8841,199.807444
"30","bSafety2.upp",16.232712,87.2882,158.343688
