"","expression","q.025","mean","q.975"
"1","asc_metro.low",65.92412,194.8539,323.78368
"2","asc_others.low",-244.87978,-155.346,-65.81222
"3","bTInc.low",-224.08984,-145.0254,-65.96096
"4","bCro.low",51.439084,155.2399,259.040716
"5","bWaitEnv1.low",-18.735952,22.5342,63.804352
"6","bStop1.low",16.029944,82.7799,149.529856
"7","bStop2.low",-3.413228,0.1967,3.806628
"8","bSafety1.low",12.05112,80.9608,149.87048
"9","bSafety2.low",-27.414188,8.2584,43.930988
"10","asc_metro.mid",38.957512,115.1482,191.338888
"11","asc_others.mid",-144.710712,-91.8011,-38.891488
"12","bTInc.mid",-132.425072,-85.7022,-38.979328
"13","bCro.mid",35.46326,107.0258,178.58834
"14","bWaitEnv1.mid",-11.071976,13.3165,37.704976
"15","bStop1.mid",9.472912,48.9185,88.364088
"16","bStop2.mid",-2.016964,0.1163,2.249564
"17","bSafety1.mid",7.12156,47.8435,88.56544
"18","bSafety2.mid",-16.200284,4.8803,25.960884
"19","asc_metro.upp",28.764988,85.0213,141.277612
"20","asc_others.upp",-106.849224,-67.7827,-28.716176
"21","bTInc.upp",-97.777752,-63.2794,-28.781048
"22","bCro.upp",29.92498,90.3116,150.69822
"23","bWaitEnv1.upp",-8.1751,9.8324,27.8399
"24","bStop1.upp",6.994492,36.1197,65.244908
"25","bStop2.upp",-1.489452,0.0858,1.661052
"26","bSafety1.upp",5.258324,35.3259,65.393476
"27","bSafety2.upp",-11.961744,3.6034,19.168544
