"","expression","q.025","mean","q.975"
"1","asc_metro.low",0.147516,0.6187,1.089884
"2","asc_others.low",-0.092156,-0.0753,-0.058444
"3","bCro.low",0.017312,0.0571,0.096888
"4","bWaitEnv1.low",0.093404,0.9462,1.798996
"5","bWaitEnv2.low",0.202096,0.5106,0.819104
"6","bStop1.low",0.209812,0.3966,0.583388
"7","bStop2.low",0.226508,0.6483,1.070092
"8","bSafety1.low",0.214404,0.4792,0.743996
"9","bSafety2.low",0.223904,0.5524,0.880896
"10","asc_metro.mid",0.409412,1.7183,3.027188
"11","asc_others.mid",-0.255648,-0.209,-0.162352
"12","bCro.mid",0.370896,1.2233,2.075704
"13","bWaitEnv1.mid",0.259044,2.6279,4.996756
"14","bWaitEnv2.mid",0.561288,1.4182,2.275112
"15","bStop1.mid",0.58308,1.1015,1.61992
"16","bStop2.mid",0.628712,1.8004,2.972088
"17","bSafety1.mid",0.595608,1.331,2.066392
"18","bSafety2.mid",0.62172,1.5341,2.44648
"19","asc_metro.upp",0.972739999999999,4.0813,7.18986
"20","asc_others.upp",-0.60724,-0.4965,-0.38576
"21","bCro.upp",4.968696,16.3904,27.812104
"22","bWaitEnv1.upp",0.61542,6.2416,11.86778
"23","bWaitEnv2.upp",1.333332,3.3684,5.403468
"24","bStop1.upp",1.384832,2.6163,3.847768
"25","bStop2.upp",1.493492,4.2763,7.059108
"26","bSafety1.upp",1.414648,3.1614,4.908152
"27","bSafety2.upp",1.47702,3.6438,5.81058
