"","expression","q.025","mean","q.975"
"1","asc_metro.low",0.360216,0.5031,0.645984
"2","asc_others.low",-0.838392,-0.5832,-0.328008
"3","bCro.low",0.81596,1.2011,1.58624
"4","bWaitEnv1.low",-2.300364,4.0616,10.423564
"5","bStop1.low",0.646744,1.1928,1.738856
"6","bStop2.low",-15776.572512,-623.5142,14529.544112
"7","bSafety1.low",0.572104,1.2093,1.846496
"8","bSafety2.low",-51.45708,13.562,78.58108
"9","asc_metro.mid",0.614772,0.8584,1.102028
"10","asc_others.mid",-1.430416,-0.9951,-0.559784
"11","bCro.mid",1.894952,2.7893,3.683648
"12","bWaitEnv1.mid",-3.924672,6.9302,17.785072
"13","bStop1.mid",1.103416,2.0352,2.966984
"14","bStop2.mid",-26918.704384,-1063.8683,24790.967784
"15","bSafety1.mid",0.976088,2.0633,3.150512
"16","bSafety2.mid",-87.798252,23.1401,134.078452
"17","asc_metro.upp",0.83516,1.1664,1.49764
"18","asc_others.upp",-1.943628,-1.3521,-0.760572
"19","bCro.upp",3.363392,4.9506,6.537808
"20","bWaitEnv1.upp",-5.332704,9.4161,24.164904
"21","bStop1.upp",1.499336,2.7653,4.031264
"22","bStop2.upp",-36574.912932,-1445.4964,33683.920132
"23","bSafety1.upp",1.326248,2.8035,4.280752
"24","bSafety2.upp",-119.293,31.4408,182.1746
